ip,timestamp,request,status,size,referrer,user_agent
206.106.57.168,22/Jul/2024:17:02:13,GET /home HTTP/1.1,502,2260,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
156.163.78.161,17/Jul/2024:14:57:32,DELETE /contact HTTP/1.0,500,4829,https://www.linkedin.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
208.198.80.245,15/Jul/2024:01:19:30,GET /blog HTTP/1.1,200,4269,https://www.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
162.202.70.151,04/Aug/2024:14:05:06,POST /about HTTP/2.0,404,2234,https://www.linkedin.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
180.229.85.195,22/Jul/2024:09:33:37,POST /signup HTTP/1.1,502,4562,https://www.bing.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/91.0.864.59"
136.242.68.47,08/Aug/2024:18:27:26,DELETE /contact HTTP/1.0,500,3801,https://www.bing.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
190.30.248.169,08/Aug/2024:01:30:53,POST /signup HTTP/1.0,400,4717,https://www.twitter.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
197.211.63.184,02/Aug/2024:03:39:50,PUT /login HTTP/1.0,200,961,https://www.twitter.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
200.113.129.6,08/Aug/2024:18:13:38,GET /about HTTP/1.1,500,2327,https://www.twitter.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
16.236.33.234,18/Jul/2024:03:42:33,PUT /about HTTP/1.0,500,3551,https://www.linkedin.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
24.156.62.188,17/Jul/2024:23:11:55,GET /contact HTTP/1.0,500,816,https://www.bing.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
234.64.215.204,31/Jul/2024:15:20:55,PUT /login HTTP/2.0,403,4933,https://www.google.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
105.79.19.162,15/Jul/2024:01:43:00,GET /signup HTTP/1.1,404,2699,https://www.bing.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
60.170.79.218,05/Aug/2024:23:07:58,GET /about HTTP/1.1,301,3281,https://www.bing.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
29.237.163.198,14/Jul/2024:23:52:33,POST /about HTTP/1.0,200,760,https://www.linkedin.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
150.186.218.120,06/Aug/2024:17:43:05,GET /home HTTP/1.0,400,3609,https://www.google.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/91.0.864.59"
169.48.241.6,23/Jul/2024:12:58:05,DELETE /signup HTTP/1.1,403,3142,https://www.twitter.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
252.215.6.119,09/Aug/2024:02:48:55,GET /blog HTTP/1.1,404,1337,https://www.facebook.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
101.183.132.230,21/Jul/2024:19:49:20,POST /signup HTTP/2.0,403,3442,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
183.126.74.140,28/Jul/2024:06:15:31,POST /about HTTP/1.0,400,3456,https://www.twitter.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
109.169.176.138,04/Aug/2024:07:57:39,GET /about HTTP/2.0,200,1721,https://www.google.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
77.210.135.147,29/Jul/2024:08:04:23,GET /home HTTP/1.1,500,755,https://www.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
246.29.9.11,02/Aug/2024:12:56:20,POST /contact HTTP/1.0,404,4783,https://www.twitter.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
176.79.143.5,14/Jul/2024:02:22:09,GET /about HTTP/1.1,500,2616,https://www.bing.com,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0
246.46.85.173,02/Aug/2024:07:50:22,DELETE /signup HTTP/1.0,500,3798,https://www.facebook.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.91.30.189,09/Aug/2024:07:55:00,PUT /signup HTTP/1.1,404,1819,https://www.facebook.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
120.254.6.150,25/Jul/2024:05:23:19,POST /contact HTTP/2.0,404,2756,https://www.linkedin.com,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0
52.128.61.14,09/Aug/2024:07:32:18,PUT /about HTTP/2.0,403,3779,https://www.bing.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
50.190.117.248,08/Aug/2024:03:55:00,DELETE /contact HTTP/2.0,404,4108,https://www.bing.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
137.211.33.72,09/Aug/2024:18:04:38,GET /login HTTP/2.0,403,612,https://www.twitter.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
26.140.150.81,05/Aug/2024:18:07:40,PUT /products HTTP/1.0,403,2000,https://www.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
153.87.132.154,23/Jul/2024:11:49:23,DELETE /home HTTP/2.0,404,836,https://www.bing.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
